model,metric,value,seed
MOLM (OneHot),specificity_accs_std,0.008529361054615985,123
MOLM (OneHot),aff_aucs_mean,0.9761686784783855,123
MOLM (OneHot),aff_aucs_std,0.0057419373133206,123
MOLM (OneHot),spec_aucs_mean,0.97819,123
MOLM (OneHot),spec_aucs_std,0.0038659018191102897,123
MOLM (OneHot),aff_aps_mean,0.9672598169468621,123
MOLM (OneHot),aff_aps_std,0.009447339026529064,123
MOLM (OneHot),spec_aps_mean,0.9769676413128465,123
MOLM (OneHot),spec_aps_std,0.004817528343759455,123
MOLM (OneHot),aff_mccs_mean,0.8596759076110171,123
MOLM (OneHot),aff_mccs_std,0.02025398491374646,123
MOLM (OneHot),spec_mccs_mean,0.8578679312543679,123
MOLM (OneHot),spec_mccs_std,0.01665474201862613,123
MOLM (OneHot),affinity_mean,0.9329999999999998,123
MOLM (OneHot),affinity_std,0.010624264680437895,123
MOLM (OneHot),specificity_mean,0.9285,123
MOLM (OneHot),specificity_std,0.008529361054615985,123
MOLM (ESM2),affinity_accs_mean,0.88125,123
MOLM (ESM2),affinity_accs_std,0.013157697366940769,123
MOLM (ESM2),specificity_accs_mean,0.905,123
MOLM (ESM2),specificity_accs_std,0.008477912478906582,123
MOLM (ESM2),aff_aucs_mean,0.9523324001936191,123
MOLM (ESM2),aff_aucs_std,0.0071061212179864795,123
MOLM (ESM2),spec_aucs_mean,0.9639087500000001,123
MOLM (ESM2),spec_aucs_std,0.0026156159647394363,123
MOLM (ESM2),aff_aps_mean,0.9255017757441028,123
MOLM (ESM2),aff_aps_std,0.012854330469103451,123
MOLM (ESM2),spec_aps_mean,0.9633814924055951,123
MOLM (ESM2),spec_aps_std,0.0027251565014401974,123
MOLM (ESM2),aff_mccs_mean,0.7544900814648884,123
MOLM (ESM2),aff_mccs_std,0.02968309843308405,123
MOLM (ESM2),spec_mccs_mean,0.8113494041172554,123
MOLM (ESM2),spec_mccs_std,0.016187556844328144,123
MOLM (ESM2),affinity_mean,0.88125,123
MOLM (ESM2),affinity_std,0.013157697366940769,123
MOLM (ESM2),specificity_mean,0.905,123
MOLM (ESM2),specificity_std,0.008477912478906582,123
MOLM (Fusion-ESM2),affinity_accs_mean,0.9252499999999999,123
MOLM (Fusion-ESM2),affinity_accs_std,0.01194780314534853,123
MOLM (Fusion-ESM2),specificity_accs_mean,0.9295,123
MOLM (Fusion-ESM2),specificity_accs_std,0.011056672193747992,123
MOLM (Fusion-ESM2),aff_aucs_mean,0.9779826191300334,123
MOLM (Fusion-ESM2),aff_aucs_std,0.004168670011160003,123
MOLM (Fusion-ESM2),spec_aucs_mean,0.9787337500000002,123
MOLM (Fusion-ESM2),spec_aucs_std,0.0021371439761981455,123
MOLM (Fusion-ESM2),aff_aps_mean,0.9705200856438804,123
MOLM (Fusion-ESM2),aff_aps_std,0.004187216084919111,123
MOLM (Fusion-ESM2),spec_aps_mean,0.978877419426372,123
MOLM (Fusion-ESM2),spec_aps_std,0.001224094168976075,123
MOLM (Fusion-ESM2),aff_mccs_mean,0.8427580101762002,123
MOLM (Fusion-ESM2),aff_mccs_std,0.02556697627636068,123
MOLM (Fusion-ESM2),spec_mccs_mean,0.8601685580736154,123
MOLM (Fusion-ESM2),spec_mccs_std,0.020905788474380727,123
MOLM (Fusion-ESM2),affinity_mean,0.9252499999999999,123
MOLM (Fusion-ESM2),affinity_std,0.01194780314534853,123
MOLM (Fusion-ESM2),specificity_mean,0.9295,123
MOLM (Fusion-ESM2),specificity_std,0.011056672193747992,123
MOLM-ST (OneHot),affinity_mean,0.93725,123
MOLM-ST (OneHot),affinity_std,0.008746427842267973,123
MOLM-ST (OneHot),specificity_mean,0.9257500000000001,123
MOLM-ST (OneHot),specificity_std,0.012539936203984432,123
MOLM-ST (OneHot),aff_mccs_mean,0.8676781194857137,123
MOLM-ST (OneHot),aff_mccs_std,0.018527755843011903,123
MOLM-ST (OneHot),spec_mccs_mean,0.8534890104797762,123
MOLM-ST (OneHot),spec_mccs_std,0.023320663827734137,123
MOLM-ST (OneHot),aff_aucs_mean,0.9763000932434724,123
MOLM-ST (OneHot),aff_aucs_std,0.0025444298745442,123
MOLM-ST (OneHot),spec_aucs_mean,0.9781912500000001,123
MOLM-ST (OneHot),spec_aucs_std,0.0028240003762393996,123
MOLM-ST (ESM2),affinity_mean,0.8864999999999998,123
MOLM-ST (ESM2),affinity_std,0.013883443376914812,123
MOLM-ST (ESM2),specificity_mean,0.8967499999999999,123
MOLM-ST (ESM2),specificity_std,0.012262748468430729,123
MOLM-ST (ESM2),aff_mccs_mean,0.7646914025349327,123
MOLM-ST (ESM2),aff_mccs_std,0.02986409479372889,123
MOLM-ST (ESM2),spec_mccs_mean,0.796842278570937,123
MOLM-ST (ESM2),spec_mccs_std,0.02181488738561914,123
MOLM-ST (ESM2),aff_aucs_mean,0.9558308182604061,123
MOLM-ST (ESM2),aff_aucs_std,0.0060191659772301735,123
MOLM-ST (ESM2),spec_aucs_mean,0.96428875,123
MOLM-ST (ESM2),spec_aucs_std,0.0026765748868656665,123
MOLM-ST (Fusion-ESM2),affinity_mean,0.924,123
MOLM-ST (Fusion-ESM2),affinity_std,0.009233092656309713,123
MOLM-ST (Fusion-ESM2),specificity_mean,0.9275,123
MOLM-ST (Fusion-ESM2),specificity_std,0.009082951062292477,123
MOLM-ST (Fusion-ESM2),aff_mccs_mean,0.8430592445652234,123
MOLM-ST (Fusion-ESM2),aff_mccs_std,0.016940413317544402,123
MOLM-ST (Fusion-ESM2),spec_mccs_mean,0.8556102136715265,123
MOLM-ST (Fusion-ESM2),spec_mccs_std,0.017558441554374225,123
MOLM-ST (Fusion-ESM2),aff_aucs_mean,0.9770618284685559,123
MOLM-ST (Fusion-ESM2),aff_aucs_std,0.003950356259033484,123
MOLM-ST (Fusion-ESM2),spec_aucs_mean,0.9786299999999999,123
MOLM-ST (Fusion-ESM2),spec_aucs_std,0.0025990695450487495,123
MOLM (OneHot),affinity_accs_mean,0.9252499999999999,456
MOLM (OneHot),affinity_accs_std,0.009334077351297264,456
MOLM (OneHot),specificity_accs_mean,0.9305,456
MOLM (OneHot),specificity_accs_std,0.005279678020485735,456
MOLM (OneHot),aff_aucs_mean,0.9739733374598591,456
MOLM (OneHot),aff_aucs_std,0.0021780338309941864,456
MOLM (OneHot),spec_aucs_mean,0.9786949999999999,456
MOLM (OneHot),spec_aucs_std,0.0028235820556519894,456
MOLM (OneHot),aff_aps_mean,0.9604678535440788,456
MOLM (OneHot),aff_aps_std,0.010388909328951902,456
MOLM (OneHot),spec_aps_mean,0.9783556954284695,456
MOLM (OneHot),spec_aps_std,0.0037931636889739673,456
MOLM (OneHot),aff_mccs_mean,0.8455212144189337,456
MOLM (OneHot),aff_mccs_std,0.01568948045606535,456
MOLM (OneHot),spec_mccs_mean,0.8620407519629076,456
MOLM (OneHot),spec_mccs_std,0.009556147312139907,456
MOLM (OneHot),affinity_mean,0.9252499999999999,456
MOLM (OneHot),affinity_std,0.009334077351297264,456
MOLM (OneHot),specificity_mean,0.9305,456
MOLM (OneHot),specificity_std,0.005279678020485735,456
MOLM (ESM2),affinity_accs_mean,0.8764999999999998,456
MOLM (ESM2),affinity_accs_std,0.021900342463075786,456
MOLM (ESM2),specificity_accs_mean,0.9037499999999999,456
MOLM (ESM2),specificity_accs_std,0.005361902647381819,456
MOLM (ESM2),aff_aucs_mean,0.9504757138312513,456
MOLM (ESM2),aff_aucs_std,0.0071361222977118725,456
MOLM (ESM2),spec_aucs_mean,0.9622025000000001,456
MOLM (ESM2),spec_aucs_std,0.0034206555475521892,456
MOLM (ESM2),aff_aps_mean,0.9253316263432456,456
MOLM (ESM2),aff_aps_std,0.00749226447260634,456
MOLM (ESM2),spec_aps_mean,0.9619641421949889,456
MOLM (ESM2),spec_aps_std,0.006291650849267165,456
MOLM (ESM2),aff_mccs_mean,0.7484786600894113,456
MOLM (ESM2),aff_mccs_std,0.03702513270535964,456
MOLM (ESM2),spec_mccs_mean,0.8088493644614987,456
MOLM (ESM2),spec_mccs_std,0.009704404415897592,456
MOLM (ESM2),affinity_mean,0.8764999999999998,456
MOLM (ESM2),affinity_std,0.021900342463075786,456
MOLM (ESM2),specificity_mean,0.9037499999999999,456
MOLM (ESM2),specificity_std,0.005361902647381819,456
MOLM (Fusion-ESM2),affinity_accs_mean,0.93025,456
MOLM (Fusion-ESM2),affinity_accs_std,0.0065859699361597536,456
MOLM (Fusion-ESM2),specificity_accs_mean,0.9285,456
MOLM (Fusion-ESM2),specificity_accs_std,0.008993052874302444,456
MOLM (Fusion-ESM2),aff_aucs_mean,0.9773234587410663,456
MOLM (Fusion-ESM2),aff_aucs_std,0.003383946689652756,456
MOLM (Fusion-ESM2),spec_aucs_mean,0.97916,456
MOLM (Fusion-ESM2),spec_aucs_std,0.0023328784526845735,456
MOLM (Fusion-ESM2),aff_aps_mean,0.9693709670937984,456
MOLM (Fusion-ESM2),aff_aps_std,0.0055985675882065065,456
MOLM (Fusion-ESM2),spec_aps_mean,0.9787136038247978,456
