feature,epoch,grad_cos_mean,grad_cos_std,grad_cos_min,grad_cos_max,n,acc_aff_mean,acc_spec_mean,aff_gap_mean,spec_gap_mean,loss_total_mean
ESM2,1,-0.008444846769791882,0.031713807096923556,-0.0763015705486759,0.0759312887955457,25,0.5132625000000001,0.5087875,0.001954915602132664,0.014410695174336416,0.9336242168426514
ESM2,2,0.011491639235442538,0.024467143936474835,-0.0461958154989406,0.0729155545309186,25,0.5190874999999999,0.5326625,0.02532055563628669,0.04606682226024564,0.8220658744335175
ESM2,3,0.04230644534995658,0.023601289547376673,0.0019625487178564,0.090855387263,25,0.5444749999999999,0.5824750000000001,0.049805305597186045,0.12420025183521208,0.726071531867981
ESM2,4,0.09347693424879322,0.03138351900115645,0.0469175808317959,0.1538520028314087,25,0.604175,0.665225,0.1516736620528623,0.2868050775684416,0.580970654463768
ESM2,5,0.14154992957136123,0.03653837721185433,0.0948478817753493,0.2431746664387174,25,0.6834125,0.746925,0.3427847049072385,0.505602406835556,0.4597436549425125
ESM2,6,0.15227978989989494,0.04401894023163678,0.0884549304563552,0.2560039500053972,25,0.740775,0.8034749999999999,0.543114271426201,0.7269793167114258,0.3883029250144958
ESM2,7,0.16551821256680413,0.0483058796655993,0.039376666592434,0.2715535504929721,25,0.76625,0.827775,0.6689033631086349,0.8808450590610504,0.3523503307938576
ESM2,8,0.17440147462049496,0.03985420093727467,0.1145926591567695,0.2427366141229868,25,0.7849375000000001,0.8455374999999999,0.7647299257993698,0.9969867794513703,0.32676583414077753
ESM2,9,0.1421383448946522,0.03129950885009621,0.0769958753883838,0.2196941550215706,25,0.7948625,0.8571125,0.8354762359380722,1.0712917272090912,0.3119652017951011
ESM2,10,0.12872420929933356,0.036339969593367605,0.0640573253855109,0.217772556822747,25,0.803275,0.8640125000000001,0.8849671017169952,1.1219877037525177,0.2995395758628845
ESM2,11,0.13313925062208432,0.058595475832204306,0.052849158141762,0.2654038734792266,25,0.80965,0.8692,0.9241365876674652,1.1683843659400939,0.29024511387348173
ESM2,12,0.14471930963776244,0.05934349000057806,0.0504454922117292,0.2457715814188122,25,0.816325,0.8701125000000001,0.9711691960334778,1.1966429909706116,0.28511883969306945
ESM2,13,0.11489485531349779,0.062416160450944565,0.015913036102429,0.262433648314327,25,0.8214125,0.8732,1.0136611578941344,1.242393070077896,0.27649729264974593
ESM2,14,0.13362440478913482,0.044204779128461,0.0443176916986703,0.2403552663512528,25,0.826825,0.8751375,1.0425789319038392,1.2643011005878448,0.2714385148525238
ESM2,15,0.12616374791366977,0.04920745223949953,0.0563259440660476,0.2394970976933837,25,0.8300749999999999,0.8765875,1.0809516080856323,1.284194682455063,0.267842295384407
ESM2,16,0.1288464502703398,0.042527708746681145,0.0554745182022452,0.2232405562698841,25,0.8341625,0.8796250000000001,1.0959848661899567,1.3054010124683382,0.26313082603216165
ESM2,17,0.11836845087954423,0.05506355522176316,0.0131678804568946,0.2430398629419505,25,0.8372125,0.8803749999999999,1.1273581871032716,1.3387101212978363,0.258538420844078
ESM2,18,0.10767604149392568,0.04996536061996215,0.0397377965599298,0.2379971241950988,25,0.8416125,0.881875,1.164022321844101,1.353724113559723,0.2544620995521545
ESM2,19,0.12564348280897827,0.05912513559347239,-0.0132828988961409,0.2177147932350635,25,0.84665,0.8844,1.2000296909332275,1.3758074167251586,0.24939255433678625
ESM2,20,0.11526700235441673,0.055505525444938766,-0.0025255369022488,0.214720094166696,25,0.8470624999999999,0.8847,1.224226526594162,1.3922511922836305,0.24851951538324354
ESM2,21,0.11531943210749883,0.04904486774650967,0.0200712878536433,0.2080269332043826,25,0.84955,0.8845375,1.2364428534984588,1.3974816454410552,0.2448194429814815
ESM2,22,0.11980214388570745,0.061801158703935564,-0.0035177415050566,0.2367828768538311,25,0.8525624999999999,0.8852625000000001,1.2560187730789183,1.4180995171546937,0.24206532621979707
ESM2,23,0.11090331272555046,0.05170488061099184,0.0029076046496629,0.2177446585148573,25,0.8545,0.8863500000000001,1.2818090866088867,1.4374831295490265,0.2404215833783149
ESM2,24,0.11746872278693185,0.04053461034451561,0.0557554886816069,0.1918591165682301,25,0.8571,0.8869875,1.3020604506015778,1.4453334120750427,0.23701447830200192
