feature,epoch,grad_cos_mean,grad_cos_std,grad_cos_min,grad_cos_max,n,acc_aff_mean,acc_spec_mean,aff_gap_mean,spec_gap_mean,loss_total_mean
Fusion-ESM2,11,0.05088853888511653,0.0313940679983469,0.0007906425930559,0.1570393549185246,25,0.9028875000000001,0.9055124999999999,1.7376731266975403,1.673361272907257,0.18807891115546224
Fusion-ESM2,12,0.05428225263399068,0.028150791343012137,0.0081823409395292,0.1140342161711305,25,0.905675,0.9060125000000001,1.7860221841812134,1.7186032211303712,0.18391648257970808
Fusion-ESM2,13,0.035287050169147516,0.026861788933496677,-0.0079127735225483,0.0869311385846231,25,0.908125,0.9073125000000001,1.8129275749206542,1.7573301154136658,0.18055008026361463
Fusion-ESM2,14,0.0402691484235867,0.031847091832112547,-0.0442368982359766,0.0935068181529641,25,0.910175,0.9107999999999999,1.8532635766029357,1.7987914938926695,0.1755695161938667
Fusion-ESM2,15,0.04324844953902062,0.030853238162784576,-0.0262707193009555,0.0884781631152145,25,0.9105249999999999,0.9113375,1.871252394390106,1.81707348613739,0.17437485945224757
Fusion-ESM2,16,0.037982835393911195,0.04300741316985886,-0.0453054068610072,0.1362429048353806,25,0.9125749999999999,0.9141625000000001,1.9035808358192443,1.8569167401313782,0.17052793902158733
Fusion-ESM2,17,0.03534214877787742,0.0369570830712445,-0.0718133975262753,0.1077853927674004,25,0.9152374999999999,0.9155375000000001,1.9363402132034302,1.8934058973312378,0.16777727398276326
Fusion-ESM2,18,0.051388741217751485,0.033662372375728764,-0.0038966220989823,0.1181072232918813,25,0.9166249999999999,0.9140375000000001,1.952581988143921,1.9061032370567321,0.16595696214735503
Fusion-ESM2,19,0.02852714825258587,0.030744804024140142,-0.0298470792872831,0.0917852689139545,25,0.9180375,0.91605,1.9894438815116882,1.9372199882507326,0.16240643825531
Fusion-ESM2,20,0.039530180719806185,0.02545543564091026,-0.0069625694368005,0.0850070150382816,25,0.9176875,0.915975,1.9946290150642394,1.9539574140548706,0.16207283638715742
Fusion-ESM2,21,0.03855324300873904,0.02475957201158247,-0.0100601444952189,0.0825189161556772,25,0.92065,0.918775,2.017524465274811,1.9658592590332031,0.15866451919972893
Fusion-ESM2,22,0.03055942984421268,0.023364426869408383,-0.0123330461047589,0.0724673370830714,25,0.9206125000000001,0.9203749999999999,2.029786433887482,2.009426938056946,0.15632825077474113
Fusion-ESM2,23,0.03754144293479618,0.029893249123858455,-0.0207303832552861,0.0951155193522572,25,0.920925,0.9201999999999999,2.035536056613922,2.014364363861084,0.15687413325905797
Fusion-ESM2,24,0.04797970570938192,0.03646599110014615,-0.0261836750619113,0.1357329370919615,25,0.9216125,0.9208625,2.0462965882301334,2.034266384410858,0.1544776145815849
Fusion-ESM2,25,0.043030596586153796,0.03209907650731445,-0.0173576069716364,0.1049668776616454,25,0.922425,0.921175,2.0614317173957826,2.05095426940918,0.15347906486690038
OneHot,1,0.0008677796942880154,0.03799188096943082,-0.0784260215406539,0.0798045616433955,25,0.5404,0.5708249999999999,0.09175055625867096,0.1382072082228958,0.7895604620695115
OneHot,2,0.06518284291564683,0.02836403320287072,0.0157060572621412,0.133825836405158,25,0.7120875,0.7419374999999999,0.49423627551347016,0.5575468408226967,0.44864464128017423
OneHot,3,0.04811940280825362,0.03401069463541741,-0.0065890505164861,0.1160466943425126,25,0.8219249999999999,0.8314374999999999,0.9633915650606155,0.9430875157117843,0.3123494481563568
OneHot,4,0.049220663577807085,0.02951516088098292,0.0080153935588896,0.125411997786723,25,0.8569499999999999,0.8602625,1.2060314566135406,1.1388424313545227,0.26689477245807647
OneHot,5,0.04372301815897222,0.03776009521670661,-0.0106173479650169,0.150614413395524,25,0.8713374999999999,0.8737125,1.347889363718033,1.2587305471897126,0.24310092265009878
OneHot,6,0.04497442486598152,0.029337558257596846,-0.012706317625707,0.0916932480596006,25,0.8817875,0.8827625,1.46334621758461,1.3616422303676605,0.226500842654705
OneHot,7,0.04878802205674579,0.026361445144104535,-0.0004651945084333,0.1189344773534685,25,0.8877375,0.888825,1.5291654977798461,1.4317140273571014,0.21558970594406124
OneHot,8,0.034070662583591156,0.030634560901425672,-0.0290245128776587,0.103802468040958,25,0.8944124999999999,0.8963500000000001,1.6124662434577943,1.511767261648178,0.20604099622964855
OneHot,9,0.0472165621656924,0.02615119656713194,-0.000710391420871,0.111373647848377,25,0.898975,0.8991875,1.6683275928497314,1.5646599802017211,0.19829320359230038
OneHot,10,0.0305051820634864,0.03157389660798366,-0.0459391838312149,0.0971192745771259,25,0.9023625,0.903425,1.729490249156952,1.6202780511856079,0.1908390157163143
OneHot,11,0.029271252801525385,0.030308262830844906,-0.0134042125428095,0.1133877857308834,25,0.9053249999999999,0.90655,1.768475245094299,1.676856357192993,0.18542269657850263
OneHot,12,0.02797028535280837,0.022612226858179763,-0.0040041230618953,0.0758344034105539,25,0.9075624999999999,0.90875,1.8151756731986999,1.7218655824661255,0.18186643692255017
OneHot,13,0.024260857305908545,0.027939871714620285,-0.0232363965315744,0.0808138689678162,25,0.910925,0.9100750000000001,1.8412552083969118,1.7595614459037783,0.17697940962910647
OneHot,14,0.027317458633170782,0.023228760932627584,-0.0259179305518046,0.0676399377826601,25,0.914825,0.9113375,1.8861473156929016,1.783510943698883,0.17263145031929014
OneHot,15,0.02920544720676259,0.025896116109437914,-0.0225443571526557,0.0678714664187282,25,0.913975,0.9137125,1.9062373407363893,1.8344275094985962,0.16930309505462643
OneHot,16,0.03826049675844839,0.03081414336035679,-0.0193127852492034,0.101429940710077,25,0.9168625,0.9155875,1.9369165069580077,1.8628271275520325,0.1671808633625507
OneHot,17,0.025858444456930706,0.02518307022260827,-0.0222023629210889,0.0840052461717277,25,0.9181874999999999,0.915625,1.976399602985382,1.885731165599823,0.16435612065792082
OneHot,18,0.03038740287696124,0.022981018827119927,-0.0175281724892556,0.0690838169213384,25,0.9202125,0.9182250000000001,1.9871678022384642,1.9110300355911256,0.16199063382148737
OneHot,19,0.03934211087413128,0.022834163098227386,-0.0213067290536127,0.0797808433696627,25,0.9206125000000001,0.9188124999999999,2.013161815071106,1.9483895823478699,0.15858509048819538
OneHot,20,0.030037948879611184,0.028963799827516967,-0.0248172233020886,0.0805986243952065,25,0.9203125,0.9210124999999999,2.0232271644592283,1.9762847501754761,0.1575533054590225
OneHot,21,0.030315883928380173,0.028585005765017938,-0.0473512481478974,0.0802343583479523,25,0.9236125,0.921275,2.0445997509956357,1.9939343507766722,0.15346256987750526
OneHot,22,0.03175041816930748,0.0230248635513217,-0.0009435378410853,0.0970542834990192,25,0.924975,0.921725,2.063019343852997,2.0162436861038207,0.15291587291955944
OneHot,23,0.026735202298662598,0.024429965304619293,-0.0182627451512962,0.0718382762325927,25,0.9245375,0.924075,2.075224474143982,2.0417411987304686,0.15110313256084915
OneHot,24,0.030380662530707148,0.022066562853326317,-0.0090094071812927,0.0809186638286337,25,0.92485,0.9227375000000001,2.0850475514411926,2.052436094379425,0.14930360521078107
OneHot,25,0.03152788782230342,0.021400166965465917,-0.0337957727350294,0.0703865460865199,25,0.925375,0.9246125000000001,2.1079740168571472,2.077660890388489,0.14785456151962276
