metric,model_a,model_b,n_seeds,mean_a,mean_b,diff_mean,diff_std,p_bootstrap,significant_05,seeds_used
igg_aff_rho,MOLM (Fusion-ESM2),LDA (ESM2),5,0.6229829313182064,0.6749657559699859,-0.0519828246517795,0.15797021293922037,0.4478,False,"42,123,456,789,2024"
igg_spec_pval,MOLM (Fusion-ESM2),LDA (ESM2),5,3.4958992037572986e-05,1.1429867434290264e-05,2.352912460328272e-05,6.229127800402946e-05,0.5803,False,"42,123,456,789,2024"
igg_spec_rho,MOLM (Fusion-ESM2),LDA (ESM2),5,0.6254764958162627,0.6210169148893903,0.004459580926872486,0.04946834947274934,0.8016,False,"42,123,456,789,2024"
iso_aff_pval,MOLM (Fusion-ESM2),LDA (ESM2),5,2.5391312380090916e-38,8.503728570411698e-35,-8.501189439173689e-35,5.628388124936342e-38,0.0,True,"42,123,456,789,2024"
iso_aff_rho,MOLM (Fusion-ESM2),LDA (ESM2),5,0.8762642669666292,0.8404739407574053,0.035790326209223844,0.012692836312632063,0.0,True,"42,123,456,789,2024"
iso_spec_pval,MOLM (Fusion-ESM2),LDA (ESM2),5,3.1126385417177035e-16,2.8254917670485857e-21,3.112610286800033e-16,3.774314400540034e-16,0.0108,True,"42,123,456,789,2024"
iso_spec_rho,MOLM (Fusion-ESM2),LDA (ESM2),5,0.6608179977502814,0.7183832020997376,-0.05756520434945622,0.02334940413828433,0.0,True,"42,123,456,789,2024"
igg_aff_pval,MOLM (Fusion-ESM2),LDA (Fusion-ESM2),5,0.0035687422424438,2.1341893499636374e-05,0.0035474003489441635,0.00796344474556522,0.5837,False,"42,123,456,789,2024"
igg_aff_rho,MOLM (Fusion-ESM2),LDA (Fusion-ESM2),5,0.6229829313182064,0.6057093874011564,0.01727354391704994,0.15797021293922037,0.7924,False,"42,123,456,789,2024"
igg_spec_pval,MOLM (Fusion-ESM2),LDA (Fusion-ESM2),5,3.4958992037572986e-05,0.00011058377582743586,-7.562478378986287e-05,6.229127800402946e-05,0.0061,True,"42,123,456,789,2024"
igg_spec_rho,MOLM (Fusion-ESM2),LDA (Fusion-ESM2),5,0.6254764958162627,0.5611774471797193,0.06429904863654345,0.04946834947274934,0.0003,True,"42,123,456,789,2024"
iso_aff_pval,MOLM (Fusion-ESM2),LDA (Fusion-ESM2),5,2.5391312380090916e-38,1.7679168503920124e-34,-1.7676629372682116e-34,5.628388124935864e-38,0.0,True,"42,123,456,789,2024"
iso_aff_rho,MOLM (Fusion-ESM2),LDA (Fusion-ESM2),5,0.8762642669666292,0.8384041994750657,0.037860067491563454,0.012692836312632063,0.0,True,"42,123,456,789,2024"
iso_spec_pval,MOLM (Fusion-ESM2),LDA (Fusion-ESM2),5,3.1126385417177035e-16,2.798541435896733e-19,3.1098400002818067e-16,3.774314400540034e-16,0.0108,True,"42,123,456,789,2024"
iso_spec_rho,MOLM (Fusion-ESM2),LDA (Fusion-ESM2),5,0.6608179977502814,0.6922024746906638,-0.03138447694038238,0.02334940413828433,0.0,True,"42,123,456,789,2024"
igg_aff_pval,MOLM (OneHot),LDA (OneHot),5,0.03633678565260412,8.123455150839684e-08,0.03633670441805261,0.06938574054790285,0.064,False,"42,123,456,789,2024"
igg_aff_rho,MOLM (OneHot),LDA (OneHot),5,0.4227395762009302,0.7190822249412309,-0.29634264874030064,0.13490601576008263,0.0,True,"42,123,456,789,2024"
igg_spec_pval,MOLM (OneHot),LDA (OneHot),5,3.365997427534403e-05,2.607380525415581e-09,3.365736689481862e-05,4.5071177617065176e-05,0.037,True,"42,123,456,789,2024"
igg_spec_rho,MOLM (OneHot),LDA (OneHot),5,0.6473527673448118,0.7694804181094547,-0.12212765076464283,0.0768712007367546,0.0,True,"42,123,456,789,2024"
iso_aff_pval,MOLM (OneHot),LDA (OneHot),5,7.214411041021924e-37,1.2340454059953319e-39,7.202070586961971e-37,1.5949929272573573e-36,0.1779,False,"42,123,456,789,2024"
iso_aff_rho,MOLM (OneHot),LDA (OneHot),5,0.8682948631421074,0.868652418447694,-0.0003575553055866765,0.013637024301008535,0.8463,False,"42,123,456,789,2024"
iso_spec_pval,MOLM (OneHot),LDA (OneHot),5,1.2778417663462786e-16,1.0350057566653719e-17,1.1743411906797414e-16,2.1959583025790707e-16,0.1735,False,"42,123,456,789,2024"
iso_spec_rho,MOLM (OneHot),LDA (OneHot),5,0.6622626171728535,0.6694773153355831,-0.007214698162729571,0.013612419822036299,0.1902,False,"42,123,456,789,2024"
igg_aff_pval,MOLM (OneHot),LDA (ESM2),5,0.03633678565260412,9.462358386381671e-07,0.036335839416765485,0.06938574054790285,0.064,False,"42,123,456,789,2024"
