model,metric,value,seed
NN (OneHot),affinity_cv_mean,0.9355,123
NN (OneHot),affinity_cv_std,0.012956658519849937,123
NN (OneHot),specificity_cv_mean,0.9289999999999999,123
NN (OneHot),specificity_cv_std,0.011816302298096498,123
NN (ESM2),affinity_cv_mean,0.8960000000000001,123
NN (ESM2),affinity_cv_std,0.0059895742753554495,123
NN (ESM2),affinity_mcc_mean,0.7815075297791423,123
NN (ESM2),affinity_mcc_std,0.010904289876613139,123
NN (ESM2),affinity_auc_mean,0.9545863113090084,123
NN (ESM2),affinity_auc_std,0.0069826431835075115,123
NN (ESM2),specificity_cv_mean,0.9029999999999999,123
NN (ESM2),specificity_cv_std,0.006595452979136467,123
NN (ESM2),specificity_mcc_mean,0.8070326959095834,123
NN (ESM2),specificity_mcc_std,0.013251485283800893,123
NN (ESM2),specificity_auc_mean,0.960150625,123
NN (ESM2),specificity_auc_std,0.005681330582486854,123
NN (ESM2),affinity_cv_mean,0.8960000000000001,123
NN (ESM2),affinity_cv_std,0.0059895742753554495,123
NN (ESM2),specificity_cv_mean,0.9029999999999999,123
NN (ESM2),specificity_cv_std,0.006595452979136467,123
NN (Fusion-ESM2),affinity_cv_mean,0.93675,123
NN (Fusion-ESM2),affinity_cv_std,0.013842868199907123,123
NN (Fusion-ESM2),affinity_mcc_mean,0.8662602802819117,123
NN (Fusion-ESM2),affinity_mcc_std,0.029292471508112632,123
NN (Fusion-ESM2),affinity_auc_mean,0.9775739325773204,123
NN (Fusion-ESM2),affinity_auc_std,0.004798657809909022,123
NN (Fusion-ESM2),specificity_cv_mean,0.92875,123
NN (Fusion-ESM2),specificity_cv_std,0.010868532559642083,123
NN (Fusion-ESM2),specificity_mcc_mean,0.8577536710904153,123
NN (Fusion-ESM2),specificity_mcc_std,0.021532584800926576,123
NN (Fusion-ESM2),specificity_auc_mean,0.977129375,123
NN (Fusion-ESM2),specificity_auc_std,0.002876282051103461,123
NN (Fusion-ESM2),affinity_cv_mean,0.93675,123
NN (Fusion-ESM2),affinity_cv_std,0.013842868199907123,123
NN (Fusion-ESM2),specificity_cv_mean,0.92875,123
NN (Fusion-ESM2),specificity_cv_std,0.010868532559642083,123
LDA (OneHot),affinity_cv_mean,0.92075,456
LDA (OneHot),affinity_cv_std,0.011141139977578615,456
LDA (OneHot),affinity_mcc,0.836187716042611,456
LDA (OneHot),affinity_auc,0.9733014246321577,456
LDA (OneHot),specificity_cv_mean,0.92275,456
LDA (OneHot),specificity_cv_std,0.009565563234854522,456
LDA (OneHot),specificity_mcc,0.8463010857578372,456
LDA (OneHot),specificity_auc,0.9754592499999999,456
LDA (ESM2),affinity_cv_mean,0.9332499999999999,456
LDA (ESM2),affinity_cv_std,0.006051859218455111,456
LDA (ESM2),affinity_mcc,0.8593702467570494,456
LDA (ESM2),affinity_auc,0.975820581537141,456
LDA (ESM2),specificity_cv_mean,0.92975,456
LDA (ESM2),specificity_cv_std,0.007881941385217205,456
LDA (ESM2),specificity_mcc,0.8595026859500904,456
LDA (ESM2),specificity_auc,0.977620125,456
LDA (Fusion-ESM2),affinity_cv_mean,0.93225,456
LDA (Fusion-ESM2),affinity_cv_std,0.007516648189186441,456
LDA (Fusion-ESM2),affinity_mcc,0.857766231509499,456
LDA (Fusion-ESM2),affinity_auc,0.9731864407139731,456
LDA (Fusion-ESM2),specificity_cv_mean,0.931,456
LDA (Fusion-ESM2),specificity_cv_std,0.0066332495807108075,456
LDA (Fusion-ESM2),specificity_mcc,0.8620038790261834,456
LDA (Fusion-ESM2),specificity_auc,0.9746870000000001,456
NN (OneHot),affinity_cv_mean,0.9327499999999999,456
NN (OneHot),affinity_cv_std,0.009663074045043848,456
NN (OneHot),affinity_mcc_mean,0.8583658125661575,456
NN (OneHot),affinity_mcc_std,0.01930800619065197,456
NN (OneHot),affinity_auc_mean,0.9755901575669268,456
NN (OneHot),affinity_auc_std,0.0039431572408593595,456
NN (OneHot),specificity_cv_mean,0.9265000000000001,456
NN (OneHot),specificity_cv_std,0.005086747487343963,456
NN (OneHot),specificity_mcc_mean,0.853364589383915,456
NN (OneHot),specificity_mcc_std,0.010398593261305511,456
NN (OneHot),specificity_auc_mean,0.9773624999999999,456
NN (OneHot),specificity_auc_std,0.004907858812659529,456
NN (OneHot),affinity_cv_mean,0.9327499999999999,456
NN (OneHot),affinity_cv_std,0.009663074045043848,456
NN (OneHot),specificity_cv_mean,0.9265000000000001,456
NN (OneHot),specificity_cv_std,0.005086747487343963,456
NN (ESM2),affinity_cv_mean,0.89375,456
NN (ESM2),affinity_cv_std,0.009219544457292896,456
NN (ESM2),affinity_mcc_mean,0.7744547781856123,456
NN (ESM2),affinity_mcc_std,0.02088656005225543,456
NN (ESM2),affinity_auc_mean,0.9548833584905101,456
NN (ESM2),affinity_auc_std,0.007560852393758317,456
NN (ESM2),specificity_cv_mean,0.89875,456
NN (ESM2),specificity_cv_std,0.01159202311936964,456
NN (ESM2),specificity_mcc_mean,0.7994990295606044,456
NN (ESM2),specificity_mcc_std,0.020902000734160806,456
NN (ESM2),specificity_auc_mean,0.9614312499999998,456
NN (ESM2),specificity_auc_std,0.007061912309619122,456
NN (ESM2),affinity_cv_mean,0.89375,456
NN (ESM2),affinity_cv_std,0.009219544457292896,456
NN (ESM2),specificity_cv_mean,0.89875,456
NN (ESM2),specificity_cv_std,0.01159202311936964,456
NN (Fusion-ESM2),affinity_cv_mean,0.9344999999999999,456
NN (Fusion-ESM2),affinity_cv_std,0.0115271418833985,456
NN (Fusion-ESM2),affinity_mcc_mean,0.8625740336495525,456
NN (Fusion-ESM2),affinity_mcc_std,0.022959456986414165,456
NN (Fusion-ESM2),affinity_auc_mean,0.976370164238596,456
NN (Fusion-ESM2),affinity_auc_std,0.00384778372519198,456
NN (Fusion-ESM2),specificity_cv_mean,0.9275,456
NN (Fusion-ESM2),specificity_cv_std,0.004609772228646442,456
NN (Fusion-ESM2),specificity_mcc_mean,0.855504008348376,456
NN (Fusion-ESM2),specificity_mcc_std,0.009330195749233243,456
NN (Fusion-ESM2),specificity_auc_mean,0.9776325000000001,456
NN (Fusion-ESM2),specificity_auc_std,0.004695735099534438,456
NN (Fusion-ESM2),affinity_cv_mean,0.9344999999999999,456
NN (Fusion-ESM2),affinity_cv_std,0.0115271418833985,456
NN (Fusion-ESM2),specificity_cv_mean,0.9275,456
NN (Fusion-ESM2),specificity_cv_std,0.004609772228646442,456
LDA (OneHot),affinity_cv_mean,0.92325,789
LDA (OneHot),affinity_cv_std,0.005623610939601002,789
LDA (OneHot),affinity_mcc,0.8416234150914023,789
LDA (OneHot),affinity_auc,0.9738519134598634,789
LDA (OneHot),specificity_cv_mean,0.9205,789
LDA (OneHot),specificity_cv_std,0.006451743950281958,789
LDA (OneHot),specificity_mcc,0.8418152719660622,789
LDA (OneHot),specificity_auc,0.9746885,789
LDA (ESM2),affinity_cv_mean,0.9309999999999998,789
LDA (ESM2),affinity_cv_std,0.006344288770224737,789
LDA (ESM2),affinity_mcc,0.8546489653158327,789
LDA (ESM2),affinity_auc,0.9744800761814929,789
LDA (ESM2),specificity_cv_mean,0.93,789
LDA (ESM2),specificity_cv_std,0.007786205751198716,789
LDA (ESM2),specificity_mcc,0.8600004300003226,789
LDA (ESM2),specificity_auc,0.97631275,789
LDA (Fusion-ESM2),affinity_cv_mean,0.92825,789
LDA (Fusion-ESM2),affinity_cv_std,0.004077376607575023,789
LDA (Fusion-ESM2),affinity_mcc,0.8491978935292412,789
LDA (Fusion-ESM2),affinity_auc,0.9715289993159386,789
LDA (Fusion-ESM2),specificity_cv_mean,0.9285,789
LDA (Fusion-ESM2),specificity_cv_std,0.007921489758877437,789
LDA (Fusion-ESM2),specificity_mcc,0.857001714005142,789
LDA (Fusion-ESM2),specificity_auc,0.975684875,789
NN (OneHot),affinity_cv_mean,0.9355,789
NN (OneHot),affinity_cv_std,0.0032210246816812625,789
NN (OneHot),affinity_mcc_mean,0.8630608840257572,789
NN (OneHot),affinity_mcc_std,0.007081101442944977,789
NN (OneHot),affinity_auc_mean,0.9768178229924634,789
NN (OneHot),affinity_auc_std,0.004077217799281876,789
NN (OneHot),specificity_cv_mean,0.9305,789
NN (OneHot),specificity_cv_std,0.006204836822995424,789
NN (OneHot),specificity_mcc_mean,0.8611853686757609,789
NN (OneHot),specificity_mcc_std,0.012422431596018945,789
NN (OneHot),specificity_auc_mean,0.976851875,789
NN (OneHot),specificity_auc_std,0.0037848379671394216,789
NN (OneHot),affinity_cv_mean,0.9355,789
NN (OneHot),affinity_cv_std,0.0032210246816812625,789
NN (OneHot),specificity_cv_mean,0.9305,789
NN (OneHot),specificity_cv_std,0.006204836822995424,789
NN (ESM2),affinity_cv_mean,0.8867499999999999,789
NN (ESM2),affinity_cv_std,0.016097360032005237,789
NN (ESM2),affinity_mcc_mean,0.7629204105318134,789
NN (ESM2),affinity_mcc_std,0.029759206748465564,789
NN (ESM2),affinity_auc_mean,0.9517892612631558,789
NN (ESM2),affinity_auc_std,0.007627362079430502,789
NN (ESM2),specificity_cv_mean,0.9035,789
NN (ESM2),specificity_cv_std,0.005442885264269302,789
NN (ESM2),specificity_mcc_mean,0.8075404096873502,789
NN (ESM2),specificity_mcc_std,0.011166836388273623,789
NN (ESM2),specificity_auc_mean,0.9597674999999999,789
NN (ESM2),specificity_auc_std,0.003924355341167486,789
NN (ESM2),affinity_cv_mean,0.8867499999999999,789
NN (ESM2),affinity_cv_std,0.016097360032005237,789
NN (ESM2),specificity_cv_mean,0.9035,789
NN (ESM2),specificity_cv_std,0.005442885264269302,789
NN (Fusion-ESM2),affinity_cv_mean,0.9335000000000001,789
NN (Fusion-ESM2),affinity_cv_std,0.0036571847095819192,789
NN (Fusion-ESM2),affinity_mcc_mean,0.8599001478153886,789
NN (Fusion-ESM2),affinity_mcc_std,0.007998181867863358,789
NN (Fusion-ESM2),affinity_auc_mean,0.9759815734872035,789
NN (Fusion-ESM2),affinity_auc_std,0.0035434498411818075,789
NN (Fusion-ESM2),specificity_cv_mean,0.9315000000000001,789
NN (Fusion-ESM2),specificity_cv_std,0.009334077351297211,789
NN (Fusion-ESM2),specificity_mcc_mean,0.8632956323510879,789
NN (Fusion-ESM2),specificity_mcc_std,0.0185154732005585,789
NN (Fusion-ESM2),specificity_auc_mean,0.9772562500000002,789
NN (Fusion-ESM2),specificity_auc_std,0.003857020790065808,789
NN (Fusion-ESM2),affinity_cv_mean,0.9335000000000001,789
NN (Fusion-ESM2),affinity_cv_std,0.0036571847095819192,789
NN (Fusion-ESM2),specificity_cv_mean,0.9315000000000001,789
NN (Fusion-ESM2),specificity_cv_std,0.009334077351297211,789
LDA (OneHot),affinity_cv_mean,0.92125,2024
LDA (OneHot),affinity_cv_std,0.010752906583803297,2024
LDA (OneHot),affinity_mcc,0.837638497747574,2024
LDA (OneHot),affinity_auc,0.9735606031636777,2024
LDA (OneHot),specificity_cv_mean,0.9207500000000002,2024
LDA (OneHot),specificity_cv_std,0.010770329614269032,2024
LDA (OneHot),specificity_mcc,0.8422610107746007,2024
LDA (OneHot),specificity_auc,0.97512975,2024
LDA (ESM2),affinity_cv_mean,0.93075,2024
LDA (ESM2),affinity_cv_std,0.009506576670915774,2024
LDA (ESM2),affinity_mcc,0.8540305990873255,2024
LDA (ESM2),affinity_auc,0.9739566736347453,2024
LDA (ESM2),specificity_cv_mean,0.92925,2024
LDA (ESM2),specificity_cv_std,0.009506576670915774,2024
LDA (ESM2),specificity_mcc,0.8585052583608112,2024
LDA (ESM2),specificity_auc,0.977777125,2024
LDA (Fusion-ESM2),affinity_cv_mean,0.9280000000000002,2024
LDA (Fusion-ESM2),affinity_cv_std,0.011197097838279338,2024
LDA (Fusion-ESM2),affinity_mcc,0.8485052464706646,2024
LDA (Fusion-ESM2),affinity_auc,0.9721489299325711,2024
LDA (Fusion-ESM2),specificity_cv_mean,0.92775,2024
LDA (Fusion-ESM2),specificity_cv_std,0.011385297536735712,2024
LDA (Fusion-ESM2),specificity_mcc,0.8555052399856424,2024
LDA (Fusion-ESM2),specificity_auc,0.9758620000000001,2024
NN (OneHot),affinity_cv_mean,0.9327500000000001,2024
NN (OneHot),affinity_cv_std,0.007681145747868621,2024
NN (OneHot),affinity_mcc_mean,0.8585034583285204,2024
NN (OneHot),affinity_mcc_std,0.016881003570685674,2024
NN (OneHot),affinity_auc_mean,0.9766635030058183,2024
NN (OneHot),affinity_auc_std,0.0037779675075518457,2024
NN (OneHot),specificity_cv_mean,0.92875,2024
NN (OneHot),specificity_cv_std,0.010338036564067683,2024
NN (OneHot),specificity_mcc_mean,0.8579232163140181,2024
NN (OneHot),specificity_mcc_std,0.020551459325302758,2024
NN (OneHot),specificity_auc_mean,0.9770506250000001,2024
NN (OneHot),specificity_auc_std,0.005871823742458551,2024
NN (OneHot),affinity_cv_mean,0.9327500000000001,2024
NN (OneHot),affinity_cv_std,0.007681145747868621,2024
NN (OneHot),specificity_cv_mean,0.92875,2024
NN (OneHot),specificity_cv_std,0.010338036564067683,2024
NN (ESM2),affinity_cv_mean,0.8829999999999998,2024
NN (ESM2),affinity_cv_std,0.007929375763576864,2024
NN (ESM2),affinity_mcc_mean,0.7553351902933014,2024
NN (ESM2),affinity_mcc_std,0.0170051698963287,2024
NN (ESM2),affinity_auc_mean,0.9479399704443636,2024
NN (ESM2),affinity_auc_std,0.0027823253816353912,2024
NN (ESM2),specificity_cv_mean,0.8959999999999999,2024
NN (ESM2),specificity_cv_std,0.015398863594434488,2024
NN (ESM2),specificity_mcc_mean,0.7935917983124622,2024
NN (ESM2),specificity_mcc_std,0.03014675537367898,2024
NN (ESM2),specificity_auc_mean,0.95870375,2024
NN (ESM2),specificity_auc_std,0.005784500572651023,2024
NN (ESM2),affinity_cv_mean,0.8829999999999998,2024
NN (ESM2),affinity_cv_std,0.007929375763576864,2024
NN (ESM2),specificity_cv_mean,0.8959999999999999,2024
NN (ESM2),specificity_cv_std,0.015398863594434488,2024
NN (Fusion-ESM2),affinity_cv_mean,0.9352499999999999,2024
NN (Fusion-ESM2),affinity_cv_std,0.006955213871621778,2024
NN (Fusion-ESM2),affinity_mcc_mean,0.8641528852848623,2024
NN (Fusion-ESM2),affinity_mcc_std,0.013856883605240719,2024
NN (Fusion-ESM2),affinity_auc_mean,0.9768120698569029,2024
NN (Fusion-ESM2),affinity_auc_std,0.004551711348245066,2024
NN (Fusion-ESM2),specificity_cv_mean,0.9305,2024
NN (Fusion-ESM2),specificity_cv_std,0.01017349497468791,2024
NN (Fusion-ESM2),specificity_mcc_mean,0.8618442840194334,2024
NN (Fusion-ESM2),specificity_mcc_std,0.019748082538619274,2024
NN (Fusion-ESM2),specificity_auc_mean,0.97728,2024
NN (Fusion-ESM2),specificity_auc_std,0.004938016824217034,2024
NN (Fusion-ESM2),affinity_cv_mean,0.9352499999999999,2024
NN (Fusion-ESM2),affinity_cv_std,0.006955213871621778,2024
NN (Fusion-ESM2),specificity_cv_mean,0.9305,2024
NN (Fusion-ESM2),specificity_cv_std,0.01017349497468791,2024
