feature,overall_mean,overall_std,pct_positive,pct_negative,early_mean_ep1_5,late_mean_ep21_25,early_pct_positive,late_pct_positive,n_epochs,n_folds,n_seeds
ESM2,0.11371763598181374,0.062388180614320866,95.19999999999999,4.8,0.05607602032715234,0.11023115410900962,79.2,98.4,25,5,5
Fusion-ESM2,0.04738438059892062,0.03467122876994056,92.64,7.359999999999999,0.06030228462199517,0.03953288361665672,93.60000000000001,92.0,25,5,5
OneHot,0.03461161283144337,0.029982554405464983,89.12,10.879999999999999,0.04142274143099355,0.030142010949872167,88.8,89.60000000000001,25,5,5
