model,metric,n_seeds,mean,std
MOLM (ESM2),aff_aps_mean,5,0.9258634204941497,0.0010053618500088781
MOLM (ESM2),aff_aps_std,5,0.009577438906148561,0.002477599813476051
MOLM (ESM2),aff_aucs_mean,5,0.9522738902586994,0.001054134274420286
MOLM (ESM2),aff_aucs_std,5,0.0057472288162457984,0.0014056866292035495
MOLM (ESM2),aff_mccs_mean,5,0.7512101075312667,0.008513829874785675
MOLM (ESM2),aff_mccs_std,5,0.02550632437690183,0.008428092486872797
MOLM (ESM2),affinity_accs_mean,5,0.8763499999999999,0.007229712995686554
MOLM (ESM2),affinity_accs_std,5,0.013947388862778506,0.005661861874688652
MOLM (ESM2),affinity_mean,5,0.8763499999999999,0.007229712995686554
MOLM (ESM2),affinity_std,5,0.013947388862778506,0.005661861874688652
MOLM (ESM2),spec_aps_mean,5,0.9620666588654061,0.001471116757767631
MOLM (ESM2),spec_aps_std,5,0.004484605184100139,0.003415903223080603
MOLM (ESM2),spec_aucs_mean,5,0.96237175,0.0010946773211773844
MOLM (ESM2),spec_aucs_std,5,0.003532820753196219,0.00212717940468889
MOLM (ESM2),spec_mccs_mean,5,0.8095350751697428,0.0027452855957989463
MOLM (ESM2),spec_mccs_std,5,0.013510788448169383,0.0061760494473760055
MOLM (ESM2),specificity_accs_mean,5,0.90425,0.0014469796128488298
MOLM (ESM2),specificity_accs_std,5,0.006907895255426269,0.0030323223649661455
MOLM (ESM2),specificity_mean,5,0.90425,0.0014469796128488298
MOLM (ESM2),specificity_std,5,0.006907895255426269,0.0030323223649661455
MOLM (Fusion-ESM2),aff_aps_mean,5,0.9687670567687194,0.0012074535851870594
MOLM (Fusion-ESM2),aff_aps_std,5,0.004057705050230717,0.0009867014645551784
MOLM (Fusion-ESM2),aff_aucs_mean,5,0.9772154393371638,0.0005779958533222598
MOLM (Fusion-ESM2),aff_aucs_std,5,0.0028524005718449296,0.0010392626312543181
MOLM (Fusion-ESM2),aff_mccs_mean,5,0.853044215380921,0.00843814874043387
MOLM (Fusion-ESM2),aff_mccs_std,5,0.01801968176579204,0.005491560016436539
