seed,pareto_loss,model,metric,value
42,OFF,MOLM (OneHot),affinity_accs_mean,0.9342499999999999
42,OFF,MOLM (OneHot),affinity_accs_std,0.00947364766074821
42,OFF,MOLM (OneHot),specificity_accs_mean,0.9262500000000001
42,OFF,MOLM (OneHot),specificity_accs_std,0.010517841983981294
42,OFF,MOLM (OneHot),aff_aucs_mean,0.976460314035662
42,OFF,MOLM (OneHot),aff_aucs_std,0.0020757320601935978
42,OFF,MOLM (OneHot),spec_aucs_mean,0.9785075000000001
42,OFF,MOLM (OneHot),spec_aucs_std,0.004091392259977055
42,OFF,MOLM (OneHot),aff_aps_mean,0.9680900567084751
42,OFF,MOLM (OneHot),aff_aps_std,0.0027271321661696125
42,OFF,MOLM (OneHot),spec_aps_mean,0.9788516937863212
42,OFF,MOLM (OneHot),spec_aps_std,0.004534277912068963
42,OFF,MOLM (OneHot),aff_mccs_mean,0.862612009374273
42,OFF,MOLM (OneHot),aff_mccs_std,0.016999081444547964
42,OFF,MOLM (OneHot),spec_mccs_mean,0.8536590483886515
42,OFF,MOLM (OneHot),spec_mccs_std,0.021033211398444406
42,OFF,MOLM (OneHot),affinity_mean,0.9342499999999999
42,OFF,MOLM (OneHot),affinity_std,0.00947364766074821
42,OFF,MOLM (OneHot),specificity_mean,0.9262500000000001
42,OFF,MOLM (OneHot),specificity_std,0.010517841983981294
42,OFF,MOLM (ESM2),affinity_accs_mean,0.8854999999999998
42,OFF,MOLM (ESM2),affinity_accs_std,0.006254998001598388
42,OFF,MOLM (ESM2),specificity_accs_mean,0.9047499999999999
42,OFF,MOLM (ESM2),specificity_accs_std,0.0032977264895682
42,OFF,MOLM (ESM2),aff_aucs_mean,0.9525165442454974
42,OFF,MOLM (ESM2),aff_aucs_std,0.0038081870421911817
42,OFF,MOLM (ESM2),spec_aucs_mean,0.9626224999999999
42,OFF,MOLM (ESM2),spec_aucs_std,0.0020650348060020727
42,OFF,MOLM (ESM2),aff_aps_mean,0.9270195193754306
42,OFF,MOLM (ESM2),aff_aps_std,0.007635778419439564
42,OFF,MOLM (ESM2),spec_aps_mean,0.962902943716396
42,OFF,MOLM (ESM2),spec_aps_std,0.0025755073442434505
42,OFF,MOLM (ESM2),aff_mccs_mean,0.7644393039462426
42,OFF,MOLM (ESM2),aff_mccs_std,0.015984389568589878
42,OFF,MOLM (ESM2),spec_mccs_mean,0.8105635634814792
42,OFF,MOLM (ESM2),spec_mccs_std,0.006384559875251224
42,OFF,MOLM (ESM2),affinity_mean,0.8854999999999998
42,OFF,MOLM (ESM2),affinity_std,0.006254998001598388
42,OFF,MOLM (ESM2),specificity_mean,0.9047499999999999
42,OFF,MOLM (ESM2),specificity_std,0.0032977264895682
42,OFF,MOLM (Fusion-ESM2),affinity_accs_mean,0.9365
42,OFF,MOLM (Fusion-ESM2),affinity_accs_std,0.0057771100041456745
42,OFF,MOLM (Fusion-ESM2),specificity_accs_mean,0.9282499999999999
42,OFF,MOLM (Fusion-ESM2),specificity_accs_std,0.012713182135091105
42,OFF,MOLM (Fusion-ESM2),aff_aucs_mean,0.9764334681337139
42,OFF,MOLM (Fusion-ESM2),aff_aucs_std,0.0013685820016782143
42,OFF,MOLM (Fusion-ESM2),spec_aucs_mean,0.9788237500000001
42,OFF,MOLM (Fusion-ESM2),spec_aucs_std,0.004285833130792709
42,OFF,MOLM (Fusion-ESM2),aff_aps_mean,0.9673959149003328
42,OFF,MOLM (Fusion-ESM2),aff_aps_std,0.003588974058427063
42,OFF,MOLM (Fusion-ESM2),spec_aps_mean,0.9790979910363304
42,OFF,MOLM (Fusion-ESM2),spec_aps_std,0.004460720429063851
42,OFF,MOLM (Fusion-ESM2),aff_mccs_mean,0.865900056707814
42,OFF,MOLM (Fusion-ESM2),aff_mccs_std,0.01152765434618507
42,OFF,MOLM (Fusion-ESM2),spec_mccs_mean,0.8569549573550861
42,OFF,MOLM (Fusion-ESM2),spec_mccs_std,0.025114609493321075
42,OFF,MOLM (Fusion-ESM2),affinity_mean,0.9365
42,OFF,MOLM (Fusion-ESM2),affinity_std,0.0057771100041456745
42,OFF,MOLM (Fusion-ESM2),specificity_mean,0.9282499999999999
42,OFF,MOLM (Fusion-ESM2),specificity_std,0.012713182135091105
42,OFF,MOLM-ST (OneHot),affinity_mean,0.9365
42,OFF,MOLM-ST (OneHot),affinity_std,0.004898979485566319
42,OFF,MOLM-ST (OneHot),specificity_mean,0.9339999999999999
42,OFF,MOLM-ST (OneHot),specificity_std,0.010105691465703857
42,OFF,MOLM-ST (OneHot),aff_mccs_mean,0.8670724711286464
42,OFF,MOLM-ST (OneHot),aff_mccs_std,0.008540951433252699
42,OFF,MOLM-ST (OneHot),spec_mccs_mean,0.8680495864840543
42,OFF,MOLM-ST (OneHot),spec_mccs_std,0.02024454681817331
42,OFF,MOLM-ST (OneHot),aff_aucs_mean,0.9780738950874387
42,OFF,MOLM-ST (OneHot),aff_aucs_std,0.002169651968093725
42,OFF,MOLM-ST (OneHot),spec_aucs_mean,0.9798925
42,OFF,MOLM-ST (OneHot),spec_aucs_std,0.0042667636300830845
42,OFF,MOLM-ST (ESM2),affinity_mean,0.89175
42,OFF,MOLM-ST (ESM2),affinity_std,0.0068282501418738305
42,OFF,MOLM-ST (ESM2),specificity_mean,0.9022500000000001
42,OFF,MOLM-ST (ESM2),specificity_std,0.009598176910226217
42,OFF,MOLM-ST (ESM2),aff_mccs_mean,0.7788435094055026
42,OFF,MOLM-ST (ESM2),aff_mccs_std,0.012884307397685715
42,OFF,MOLM-ST (ESM2),spec_mccs_mean,0.80595476319466
42,OFF,MOLM-ST (ESM2),spec_mccs_std,0.01733486268280279
42,OFF,MOLM-ST (ESM2),aff_aucs_mean,0.9571274783958448
42,OFF,MOLM-ST (ESM2),aff_aucs_std,0.004757760711608742
42,OFF,MOLM-ST (ESM2),spec_aucs_mean,0.9631275
42,OFF,MOLM-ST (ESM2),spec_aucs_std,0.0021253661449265127
42,OFF,MOLM-ST (Fusion-ESM2),affinity_mean,0.9324999999999999
42,OFF,MOLM-ST (Fusion-ESM2),affinity_std,0.007458216945088149
42,OFF,MOLM-ST (Fusion-ESM2),specificity_mean,0.9252499999999999
42,OFF,MOLM-ST (Fusion-ESM2),specificity_std,0.013905933985173391
42,OFF,MOLM-ST (Fusion-ESM2),aff_mccs_mean,0.8594880198074186
42,OFF,MOLM-ST (Fusion-ESM2),aff_mccs_std,0.013224113677233468
42,OFF,MOLM-ST (Fusion-ESM2),spec_mccs_mean,0.8511990006746146
42,OFF,MOLM-ST (Fusion-ESM2),spec_mccs_std,0.026792837365181586
42,OFF,MOLM-ST (Fusion-ESM2),aff_aucs_mean,0.9768288472827782
42,OFF,MOLM-ST (Fusion-ESM2),aff_aucs_std,0.0027367045459826076
42,OFF,MOLM-ST (Fusion-ESM2),spec_aucs_mean,0.97881
42,OFF,MOLM-ST (Fusion-ESM2),spec_aucs_std,0.0032942056136495237
123,OFF,MOLM (OneHot),affinity_accs_mean,0.9329999999999998
123,OFF,MOLM (OneHot),affinity_accs_std,0.010624264680437895
123,OFF,MOLM (OneHot),specificity_accs_mean,0.9285
123,OFF,MOLM (OneHot),specificity_accs_std,0.008529361054615985
123,OFF,MOLM (OneHot),aff_aucs_mean,0.9761686784783855
123,OFF,MOLM (OneHot),aff_aucs_std,0.0057419373133206
123,OFF,MOLM (OneHot),spec_aucs_mean,0.97819
123,OFF,MOLM (OneHot),spec_aucs_std,0.0038659018191102897
123,OFF,MOLM (OneHot),aff_aps_mean,0.9672598169468621
123,OFF,MOLM (OneHot),aff_aps_std,0.009447339026529064
123,OFF,MOLM (OneHot),spec_aps_mean,0.9769676413128465
123,OFF,MOLM (OneHot),spec_aps_std,0.004817528343759455
123,OFF,MOLM (OneHot),aff_mccs_mean,0.8596759076110171
123,OFF,MOLM (OneHot),aff_mccs_std,0.02025398491374646
123,OFF,MOLM (OneHot),spec_mccs_mean,0.8578679312543679
123,OFF,MOLM (OneHot),spec_mccs_std,0.01665474201862613
123,OFF,MOLM (OneHot),affinity_mean,0.9329999999999998
123,OFF,MOLM (OneHot),affinity_std,0.010624264680437895
123,OFF,MOLM (OneHot),specificity_mean,0.9285
123,OFF,MOLM (OneHot),specificity_std,0.008529361054615985
123,OFF,MOLM (ESM2),affinity_accs_mean,0.88125
123,OFF,MOLM (ESM2),affinity_accs_std,0.013157697366940769
123,OFF,MOLM (ESM2),specificity_accs_mean,0.905
123,OFF,MOLM (ESM2),specificity_accs_std,0.008477912478906582
123,OFF,MOLM (ESM2),aff_aucs_mean,0.9523324001936191
123,OFF,MOLM (ESM2),aff_aucs_std,0.0071061212179864795
123,OFF,MOLM (ESM2),spec_aucs_mean,0.9639087500000001
123,OFF,MOLM (ESM2),spec_aucs_std,0.0026156159647394363
123,OFF,MOLM (ESM2),aff_aps_mean,0.9255017757441028
123,OFF,MOLM (ESM2),aff_aps_std,0.012854330469103451
123,OFF,MOLM (ESM2),spec_aps_mean,0.9633814924055951
123,OFF,MOLM (ESM2),spec_aps_std,0.0027251565014401974
123,OFF,MOLM (ESM2),aff_mccs_mean,0.7544900814648884
123,OFF,MOLM (ESM2),aff_mccs_std,0.02968309843308405
123,OFF,MOLM (ESM2),spec_mccs_mean,0.8113494041172554
123,OFF,MOLM (ESM2),spec_mccs_std,0.016187556844328144
123,OFF,MOLM (ESM2),affinity_mean,0.88125
123,OFF,MOLM (ESM2),affinity_std,0.013157697366940769
123,OFF,MOLM (ESM2),specificity_mean,0.905
123,OFF,MOLM (ESM2),specificity_std,0.008477912478906582
123,OFF,MOLM (Fusion-ESM2),affinity_accs_mean,0.9252499999999999
123,OFF,MOLM (Fusion-ESM2),affinity_accs_std,0.01194780314534853
123,OFF,MOLM (Fusion-ESM2),specificity_accs_mean,0.9295
123,OFF,MOLM (Fusion-ESM2),specificity_accs_std,0.011056672193747992
123,OFF,MOLM (Fusion-ESM2),aff_aucs_mean,0.9779826191300334
123,OFF,MOLM (Fusion-ESM2),aff_aucs_std,0.004168670011160003
123,OFF,MOLM (Fusion-ESM2),spec_aucs_mean,0.9787337500000002
123,OFF,MOLM (Fusion-ESM2),spec_aucs_std,0.0021371439761981455
