seed,fold,feature,epoch,loss_total,loss_cls_aff,loss_cls_spec,acc_aff,acc_spec,aff_gap,spec_gap,grad_cosine_aff_spec,iso_aff_rho,iso_spec_rho,igg_aff_rho,igg_spec_rho
42,1,ESM2,1,0.9468310797214508,0.2703555744886398,0.1885388666391372,0.51,0.49375,0.008116823490709,0.008432343667373,-0.0175945953838527,,,,
42,1,ESM2,2,0.8406684064865112,0.2371076855063438,0.1786929255723953,0.513125,0.530625,0.0184381713159382,0.0325841630809009,0.0037674105074256,,,,
42,1,ESM2,3,0.7372102367877961,0.221709243953228,0.1718071579933166,0.53125,0.569375,0.0715185552183538,0.088262042067945,0.0261277662124484,,,,
42,1,ESM2,4,0.5706371146440506,0.2123071134090423,0.1514413531124591,0.6025,0.685,0.1558874765783548,0.3099128943681717,0.0469175808317959,,,,
42,1,ESM2,5,0.4554668819904327,0.1851461261510849,0.1340702910721302,0.695625,0.749375,0.4109887047111988,0.5066612586379051,0.15044441052014,0.7824071991001125,0.5828601424821899,0.5988161891243993,0.5040137280261718
42,1,ESM2,6,0.3770355176925659,0.163254015147686,0.1165087109804153,0.7571875,0.815,0.6945321279764175,0.7654852592945098,0.1328873513080179,,,,
42,1,ESM2,7,0.3483652368187904,0.152826432287693,0.1092244949936866,0.7740625,0.82,0.7986597108840943,0.8901376748085021,0.1117761593312025,,,,
42,1,ESM2,8,0.3189434278011322,0.1434469218552112,0.1013980814814567,0.7934375,0.845625,0.91127208173275,1.005626369714737,0.1977952628210187,,,,
42,1,ESM2,9,0.3041595014929771,0.1402513416111469,0.0959740240871906,0.806875,0.86,0.9878962564468384,1.0992283499240876,0.188472581799142,,,,
42,1,ESM2,10,0.2931949937343597,0.1373014153540134,0.0928337354958057,0.8096875,0.868125,0.9903756237030028,1.0757434165477753,0.0733899091230705,0.8510326209223849,0.6185736782902138,0.6170628904452268,0.6681263061350796
42,1,ESM2,11,0.2841233596205711,0.1329771625995636,0.0904282319545745,0.8215625,0.865,1.0161438989639282,1.182110300064087,0.1952332277758978,,,,
42,1,ESM2,12,0.276542789041996,0.1297043406963348,0.0884308509528637,0.8240625,0.875625,1.1278816759586334,1.220522677898407,0.1338650251738727,,,,
42,1,ESM2,13,0.2731141585111618,0.1303260242938995,0.0874223775416612,0.8225,0.8728125,1.115047047138214,1.2444615137577058,0.1103837538312654,,,,
42,1,ESM2,14,0.2748711571097374,0.1265898698568344,0.0890471130609512,0.8309375,0.875,1.1007423162460328,1.2481529712677002,0.135397355761379,,,,
42,1,ESM2,15,0.2631487399339676,0.1219506822526454,0.086607247442007,0.839375,0.88,1.173416315317154,1.2994935393333436,0.0828816010151058,0.8626111736032995,0.6078470191226096,0.6726950553611717,0.5742318568020188
42,1,ESM2,16,0.2594142299890518,0.1192969006299972,0.0869299264252185,0.843125,0.88125,1.2030574035644532,1.266280996799469,0.0704907777532935,,,,
42,1,ESM2,17,0.2497562250494956,0.1174449756741523,0.0832344541698694,0.84625,0.8884375,1.2303822588920594,1.3018154740333556,0.0902573075192049,,,,
42,1,ESM2,18,0.2447800144553184,0.1134543488919734,0.0828728659451007,0.8525,0.8875,1.2730252349376678,1.331780617237091,0.0495789454504847,,,,
42,1,ESM2,19,0.2374158170819282,0.1155826318264007,0.0777263677865266,0.8503125,0.8928125,1.27836199760437,1.3914253878593446,0.0761931496299803,,,,
42,1,ESM2,20,0.2403594985604286,0.1165927171707153,0.0782489170134067,0.8509375,0.8940625,1.3020901584625244,1.4042161178588868,0.0818307521846145,0.8684544431946007,0.558695163104612,0.6443923942013106,0.3014676706565808
42,1,ESM2,21,0.2364889964461326,0.110366533845663,0.0797508060932159,0.861875,0.8921875,1.3578638291358949,1.4331913995742798,0.0352303305268287,,,,
42,1,ESM2,22,0.2385320577025413,0.1109740553796291,0.0812685733288526,0.85625,0.884375,1.3147302615642549,1.3907435727119446,0.1434840019769035,,,,
42,1,ESM2,23,0.2336684045195579,0.1100634324550628,0.0801067623496055,0.8628125,0.888125,1.3433111429214477,1.3981480717658996,0.1856827584467828,,,,
42,1,ESM2,24,0.2282153555750846,0.1066430351138115,0.0786527720093727,0.8725,0.8884375,1.3629079008102416,1.444399588108063,0.0641487251035869,,,,
42,1,ESM2,25,0.2310154017806053,0.1081936618685722,0.0787619119137525,0.8696875,0.890625,1.4552748608589172,1.4102367782592773,0.0833568582951556,0.8663427071616049,0.5976782902137233,0.6930502643901837,0.5326361292477353
42,1,Fusion-ESM2,1,0.7428460931777954,0.2386686316132545,0.1708525767922401,0.561875,0.5828125,0.0994755023973994,0.1440510151907801,0.0478927176259458,,,,
